Rank	Team	Record	Players
year:2025
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
16	 IND	34-38 	15	25.1	$136,089,712	$-23,675,712	$122,438,198	$62,773,234	$13,651,514
17	 CHI	31-41 	15	25.3	$136,118,673	$-23,704,673	$132,834,003	$69,500,000	$1,795,605
18	 MIA	40-32 	15	28.4	$138,804,919	$-26,390,919	$130,080,823	$91,103,828	$5,385,740
19	 DEN	47-25 	15	26.7	$138,963,942	$-26,549,942	$135,433,726	$76,921,797	$191,860
20	 UTA	52-20 	14	26.9	$145,969,091	$-33,555,091	$145,681,301	$84,448,328	$287,790
21	 DAL	42-30 	15	26.8	$146,734,486	$-34,320,486	$117,318,978	$56,621,100	$7,431,031
22	 TOR	27-45 	15	24.4	$149,439,621	$-37,025,621	$130,912,460	$68,904,862	$2,775,812
23	 WAS	34-38 	15	25.2	$155,635,311	$-43,221,311	$125,963,635	$78,413,662	-
24	 PHI	49-23 	15	26.1	$156,429,129	$-44,015,129	$145,133,832	$111,886,180	$115,954
25	 MIL	46-26 	15	28.1	$160,663,369	$-48,249,369	$152,275,432	$106,016,233	$6,718,759
26	 LAL	42-30 	15	28.8	$160,861,720	$-48,447,720	$147,504,083	$120,753,050	$8,530,216
27	 MIN	23-49 	15	24.5	$165,734,220	$-53,320,220	$136,155,208	$76,156,064	-
28	 LAC	47-25 	15	26.8	$166,162,398	$-53,748,398	$164,493,220	$94,317,707	$1,669,178
29	 BKN	48-24 	15	27.6	$172,820,410	$-60,406,410	$157,843,675	$110,351,536	$11,438,379
30	 GSW	39-33 	15	27.2	$184,024,769	$-71,610,769	$175,192,325	$115,341,076	$666,667
Totals	-	449	-	$4,206,659,817	$-834,239,817	$3,769,670,995	$2,207,929,150	$270,361,982
Averages	-	15.0	25.7	$140,221,994	$-27,807,994	$125,655,700	$73,597,638	$9,012,066
CAP & APRON RULES/SUMMARY

Rank	Team	Record	Players
year:2020
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
1	 NYK	21-45 	15	25.4	$101,969,879	$7,170,121	$81,511,334	$36,704,687	$20,458,545
2	 OKC	44-28 	15	22.9	$104,570,165	$4,569,835	$58,973,451	$35,511,690	$36,223,064
3	 SAC	31-41 	15	24.2	$106,822,079	$2,317,921	$93,805,708	$56,187,760	$11,395,807
4	 CHA	23-42 	15	24.3	$107,134,070	$2,005,930	$98,277,101	$62,815,730	$8,856,969
5	 DET	20-46 	15	23.8	$115,013,466	$-5,873,466	$76,325,187	$39,650,000	$38,688,279
6	 ATL	20-47 	15	25.2	$116,695,055	$-7,555,055	$115,950,371	$55,000,000	$744,684
7	 ORL	33-40 	15	24.3	$118,898,403	$-9,758,403	$109,369,134	$61,149,952	$4,842,444
8	 DAL	43-32 	15	26.2	$125,815,404	$-16,675,404	$124,194,840	$61,456,500	$1,620,564
9	 CLE	19-46 	15	24.5	$126,527,288	$-17,387,288	$95,788,697	$55,217,347	$30,738,591
10	 CHI	22-43 	15	26.0	$128,065,350	$-18,925,350	$127,968,089	$59,045,000	$97,261
11	 IND	45-28 	15	25.7	$129,005,732	$-19,865,732	$125,044,311	$58,500,000	$3,961,421
